videoId,frames_analyzed,analysis_date,humanPresence,faceSum,Gender,Smile,motionMagnitude,motionDirection,Saturation,Brightness,video_id,method,performance
YiodHE6lLiM,25,2025-08-13 18:36:59,1.0,3.0,0.0,1.0,1.0,0.558,0.268,0.523,YiodHE6lLiM,yolo_production,"{'total_time': 2.1286141872406006, 'analysis_fps': 11.744730515213, 'detection_fps': np.float64(56.6522821042176), 'gpu_used': True}"
TfqmaBUDw0E,25,2025-08-13 18:37:00,1.0,3.0,0.0,1.0,0.96,0.485,0.23,0.51,TfqmaBUDw0E,yolo_production,"{'total_time': 1.9667730331420898, 'analysis_fps': 12.711176927243272, 'detection_fps': np.float64(55.502490570339845), 'gpu_used': True}"
8e4b4jeVom8,25,2025-08-13 18:37:00,1.0,3.0,0.0,1.0,0.974,0.467,0.246,0.591,8e4b4jeVom8,yolo_production,"{'total_time': 1.9518911838531494, 'analysis_fps': 12.80809104872768, 'detection_fps': np.float64(55.01511892996579), 'gpu_used': True}"
RKavzevrH04,25,2025-08-13 18:37:01,1.0,3.0,0.0,1.0,1.0,0.448,0.215,0.571,RKavzevrH04,yolo_production,"{'total_time': 2.1433496475219727, 'analysis_fps': 11.66398586852298, 'detection_fps': np.float64(54.930930283515224), 'gpu_used': True}"
9CriHxZgSHQ,25,2025-08-13 18:37:01,1.0,2.0,0.5,0.0,0.961,0.5,0.346,0.354,9CriHxZgSHQ,yolo_production,"{'total_time': 2.301884412765503, 'analysis_fps': 10.860666965447146, 'detection_fps': np.float64(49.670103355736494), 'gpu_used': True}"
ALWUN7WgW0E,25,2025-08-13 18:37:02,0.0,,,0.0,0.921,0.514,0.329,0.328,ALWUN7WgW0E,yolo_production,"{'total_time': 1.9794611930847168, 'analysis_fps': 12.62969947950379, 'detection_fps': np.float64(47.569817575879185), 'gpu_used': True}"
Z1CEK94CjJI,25,2025-08-13 18:37:02,1.0,1.0,0.0,1.0,0.897,0.453,0.19,0.262,Z1CEK94CjJI,yolo_production,"{'total_time': 1.7616620063781738, 'analysis_fps': 14.191144447394798, 'detection_fps': np.float64(56.50507619684004), 'gpu_used': True}"
VOfoINY_w1I,25,2025-08-13 18:37:03,1.0,3.0,0.0,1.0,1.0,0.473,0.233,0.244,VOfoINY_w1I,yolo_production,"{'total_time': 2.154243230819702, 'analysis_fps': 11.605003391602793, 'detection_fps': np.float64(49.89305732271346), 'gpu_used': True}"
qNg98ljKYe0,25,2025-08-13 18:37:03,1.0,1.0,1.0,0.0,0.855,0.502,0.253,0.334,qNg98ljKYe0,yolo_production,"{'total_time': 2.0704402923583984, 'analysis_fps': 12.074726372100779, 'detection_fps': np.float64(47.45451712988951), 'gpu_used': True}"
-3OwFM1E5QI,25,2025-08-13 18:37:04,1.0,3.0,0.5,1.0,1.0,0.415,0.242,0.705,-3OwFM1E5QI,yolo_production,"{'total_time': 2.0245609283447266, 'analysis_fps': 12.34835645101573, 'detection_fps': np.float64(53.13376758852915), 'gpu_used': True}"
eXednT8J6Ww,25,2025-08-13 18:37:05,1.0,4.0,0.5,1.0,0.883,0.448,0.284,0.548,eXednT8J6Ww,yolo_production,"{'total_time': 2.813234329223633, 'analysis_fps': 8.886568651712437, 'detection_fps': np.float64(44.32141221282523), 'gpu_used': True}"
kdahT550Idg,25,2025-08-13 18:37:05,1.0,2.0,0.5,1.0,1.0,0.474,0.23,0.589,kdahT550Idg,yolo_production,"{'total_time': 2.346641778945923, 'analysis_fps': 10.653522077506706, 'detection_fps': np.float64(51.52814743833268), 'gpu_used': True}"
