videoId,titleSentiment,titleTechnicality,descriptionSentiment,descriptionTechnicality,hashtagsDescription,URLDescription,scriptSentiment,scriptTechnicality,analysis_date
dwtIZedZEfY,0.307,0.251,0.765,0.331,0.6,0.733,0.377,0.116,2025-08-13 18:24:56
yVPPtvBt_TA,0.493,0.257,0.391,0.337,1.0,0.733,0.331,0.194,2025-08-13 18:24:56
O1Y7sVqz-vc,0.695,0.454,0.745,0.287,0.3,0.667,0.37,0.118,2025-08-13 18:25:01
92ZTtRLMZIg,0.536,0.379,0.469,0.322,0.9,0.8,0.469,0.118,2025-08-13 18:25:02
eVXrDL9KNIE,0.563,0.063,0.389,0.313,0.3,0.733,0.585,0.308,2025-08-13 18:25:06
jmy9sNy36so,0.555,0.064,0.382,0.294,0.3,0.733,0.76,0.31,2025-08-13 18:25:07
HCTvT5uhFI4,0.599,0.286,0.791,0.295,0.7,0.667,0.413,0.152,2025-08-13 18:25:23
MFhi5c7bUf4,0.647,0.417,0.391,0.4,0.8,0.733,0.577,0.116,2025-08-13 18:25:30
00EluGhzmgY,0.505,0.253,0.531,0.334,0.3,0.267,0.337,0.163,2025-08-13 18:25:31
LZzdsB2oh2Y,0.474,0.267,0.365,0.322,0.3,0.733,0.3,0.162,2025-08-13 18:25:34
lxXGhROqkaQ,0.552,0.545,0.609,0.372,0.4,0.733,0.518,0.241,2025-08-13 18:25:36
aesWvhXJTs8,0.447,0.47,0.542,0.396,0.3,0.867,0.575,0.188,2025-08-13 18:25:38
Jzu-DXmGFlU,0.65,0.452,0.414,0.433,0.3,0.867,0.426,0.146,2025-08-13 18:25:46
AT-FbrDt7sI,0.338,0.266,0.456,0.382,0.3,0.867,0.395,0.156,2025-08-13 18:25:48
yDDRagJc1FQ,0.767,0.25,0.391,0.344,0.3,0.667,0.39,0.144,2025-08-13 18:25:53
7X1p8cm29SY,0.463,0.08,0.475,0.265,1.0,0.733,0.632,0.125,2025-08-13 18:25:55
dKn8uZc06OM,0.517,0.597,0.564,0.354,0.9,0.933,0.736,0.17,2025-08-13 18:25:59
OuvrgkBOsz0,0.697,0.284,0.544,0.338,1.0,0.733,0.491,0.122,2025-08-13 18:26:10
m-JARE9nFgY,0.415,0.487,0.487,0.408,1.0,0.733,0.379,0.167,2025-08-13 18:26:17
hPHFcTH8mD8,0.577,0.226,0.507,0.205,0.6,0.8,0.511,0.136,2025-08-13 18:26:18
t4JAY1j1-FU,0.271,0.274,0.591,0.335,1.0,0.867,0.404,0.104,2025-08-13 18:26:20
8Jb86MZBGZ4,0.546,0.262,0.536,0.27,0.9,0.867,0.524,0.129,2025-08-13 18:26:22
